id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
10153,the-franz-kafka-videogame,The Franz Kafka Videogame,65,2017-04-06,False,2020-05-14T13:33:06,https://kafkagame.blogspot.com/,3.43,4,3,12,21,294,0,21,iOS||PC,Denis Galanin,Adventure||Indie||Puzzle,Daedalic Entertainment,Everyone 10+,11,136,19,5,2,0
101530,sex-drive-tojam-edition,Sex Drive (TOJam Edition),,2015-05-03,False,2019-01-09T12:41:06,,0.0,0,0,0,0,79,0,0,PC||macOS||Android,Royal Papaya!,Action,,,0,0,0,0,0,0
101531,camp-snuggle,Camp Snuggle,,2018-08-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,39,0,0,PC||Web,swsteffes,,,,0,0,0,0,0,0
101532,last-night-a-nurse-save-my-life,Last Night A Nurse Save My Life,,2018-01-25,False,2019-08-28T23:25:02,,0.0,0,0,0,0,93,0,0,macOS||Linux,lifer87,Platformer,,,0,0,0,0,0,0
101533,play,Play,,2014-08-10,False,2019-01-09T12:41:06,,0.0,0,0,0,0,46,0,0,PC,MaritimeRUSH,Strategy,,,0,0,0,0,0,0
101534,emo-lemon,Emo Lemon,,2017-11-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,93,0,0,PC,Diego C. Torguet,,,,0,0,0,0,0,0
101535,meganoid-grandpas-chronicles,Meganoid: Grandpa's Chronicles,,2018-07-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,205,0,0,PC||macOS||Linux,Orangepixel,Platformer,,,0,0,0,0,0,0
101536,a-tale-of-survival-itch,A Tale of Survival (itch),,2014-10-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,226,0,0,PC,dynamiczero,Adventure,,,0,0,0,0,0,0
101537,spicy-boyfriend,Spicy Boyfriend,,2018-06-11,False,2019-01-09T12:41:06,,0.0,0,0,0,0,7,0,0,PC,SuicideToro,Adventure,,,0,1,0,0,0,0
101538,go-fly,Go Fly!,,2016-04-01,False,2019-01-09T12:41:06,,0.0,0,0,0,0,156,0,0,PC||macOS||Linux,Studio Bump Check,Simulation,,,0,0,0,0,0,0
101539,bisbys-escape,Bisby's Escape,,2016-12-29,False,2019-01-09T12:41:06,,0.0,0,0,0,0,27,0,0,Web,walsh9,,,,0,0,0,0,0,0
10154,compet-beast-battles,ComPet - Beast Battles,,2016-11-29,False,2019-08-23T12:12:48,https://competgame.com/,0.0,0,2,0,2,231,0,2,PC,MindArk PE,Strategy,MindArk PE,,1,53,1,0,1,0
101540,tipping-point-v2,Tipping Point v2,,2014-09-29,False,2019-01-09T12:41:06,,0.0,0,0,0,0,61,0,0,PC||macOS,JoeGrainger,Action,,,0,0,0,0,0,0
101541,my-potion-shop,My Potion Shop,,2018-08-17,False,2019-01-09T12:41:06,,0.0,0,0,0,0,121,0,0,PC||macOS||Linux,Autumn Rain,Puzzle,,,0,0,0,0,0,0
101542,die-for-the-empire-itch,Die for the Empire (itch),,2017-07-07,False,2019-01-09T12:41:06,,0.0,0,0,0,0,161,0,0,PC,TheBlackSword,Shooter,,,0,0,0,0,0,0
101543,red-book-discordia-tales,Red Book: Discordia Tales,,2016-02-03,False,2019-01-09T12:41:06,,0.0,0,0,0,0,97,0,0,PC,966emu,RPG,,,0,0,0,0,0,0
101544,golf-war,Golf War,,2018-04-23,False,2019-01-09T12:41:06,,0.0,0,0,0,0,61,0,0,macOS||Web||PC,smilodon,Sports,,,0,0,0,0,0,0
101545,fencing-in-wonderland-2-player,Fencing in Wonderland (2-Player),,2015-05-05,False,2019-01-09T12:41:06,,0.0,0,0,0,0,43,0,0,Web,6â†“,,,,0,0,0,0,0,0
